rk,team,str,ofs,dfs,sos
1,USC,5.27,1.93,0.37,1.43
2,UCLA,4.63,1.82,0.39,1.39
3,Stanford,4.43,1.82,0.41,1.40
4,California,4.39,2.03,0.46,1.46
5,Pacific,3.09,1.61,0.52,1.41
6,UC Santa Barbara,2.65,1.46,0.55,1.37
7,UC Irvine,2.60,1.56,0.60,1.35
8,UC-Irvine,2.47,2.05,0.83,1.12
9,Pepperdine,2.44,1.64,0.67,1.40
10,UC-Davis,2.31,1.69,0.73,1.12
11,Long Beach State,2.00,1.28,0.64,1.26
12,UC Davis,1.87,1.27,0.68,1.11
13,UC San Diego,1.67,1.30,0.78,1.18
14,Loyola Marymount,1.66,1.22,0.73,1.21
15,Princeton,1.53,1.14,0.75,1.03
16,Concordia,1.30,1.19,0.92,1.04
17,Santa Clara,1.30,1.06,0.82,1.19
18,Air Force,1.23,1.10,0.89,1.20
19,Cal Baptist,1.22,1.17,0.96,1.01
20,Bucknell,1.21,1.06,0.87,1.03
21,St. Francis Brooklyn,1.20,1.09,0.90,1.00
22,St.Francis Brooklyn,1.16,1.17,1.00,0.77
23,Brown,1.15,0.99,0.86,0.99
24,San Jose State,1.14,1.01,0.88,1.35
25,Navy,1.12,1.13,1.01,0.96
26,Claremont-Mudd-Scripps,1.08,1.07,0.99,0.95
27,Johns Hopkins,1.05,1.04,0.99,0.92
28,Claremont Mudd Scripps,1.00,0.98,0.98,1.00
29,Pomona Pitzer,0.97,0.89,0.92,1.12
30,Toronto,0.92,1.03,1.13,0.85
31,Harvard,0.86,0.94,1.09,1.01
32,Saint Francis,0.84,1.04,1.23,0.95
33,Whittiter,0.84,0.87,1.03,0.86
34,Redlands,0.82,0.84,1.02,1.02
35,Chapman,0.79,1.02,1.29,0.91
36,Fresno Pacific,0.77,0.91,1.19,1.04
37,George Washington,0.75,0.93,1.24,0.92
38,Cal Lutheran,0.74,0.86,1.17,0.87
39,MIT,0.74,0.79,1.08,0.91
40,Pomona-Pitzer,0.73,0.75,1.03,0.97
41,Whittier,0.72,0.90,1.24,0.99
42,Iona,0.71,0.93,1.30,0.92
43,Vanguard,0.71,0.86,1.21,0.98
44,Fordham,0.68,0.76,1.11,0.90
45,George Washingtotn,0.66,0.83,1.27,1.12
46,Mercyhurst,0.55,0.74,1.34,0.76
47,Notre Dame,0.54,0.81,1.51,0.67
48,La Verne,0.51,0.71,1.38,0.94
49,Occidental,0.48,0.64,1.33,0.93
50,Notre Dame (Ohio),0.45,0.81,1.79,0.75
51,Gannon,0.44,0.70,1.59,0.78
52,Washington & Jefferson,0.43,0.70,1.63,0.75
53,Monmouth,0.34,0.73,2.15,0.71
54,Connecticut,0.34,0.58,1.73,0.84
55,Connecticut College,0.33,0.58,1.76,1.08
56,Penn State Behrend,0.29,0.53,1.85,0.73
57,Salem International,0.28,0.56,2.00,0.71
58,Cal Tech,0.24,0.52,2.12,0.83
