rk,team,str,ofs,dfs,sos
1,Stanford,8.41,2.56,0.30,1.59
2,USC,7.21,2.40,0.33,1.51
3,California,5.66,2.22,0.39,1.57
4,UCLA,4.79,1.83,0.38,1.52
5,Hawaii,4.19,2.16,0.51,1.44
6,Arizona State,4.12,1.79,0.43,1.54
7,UC Irvine,3.45,1.84,0.53,1.62
8,Michigan,3.26,1.78,0.55,1.32
9,Pacific,2.78,1.95,0.70,1.58
10,UC Davis,2.33,1.83,0.78,1.33
11,UC San Diego,2.26,1.35,0.60,1.25
12,UC Santa Barbara,2.13,1.21,0.57,1.24
13,Indiana,2.06,1.35,0.65,1.16
14,Wagner,1.97,1.55,0.79,1.09
15,Long Beach State,1.88,1.21,0.65,1.35
16,Loyola Marymount,1.80,1.09,0.60,1.39
17,Princeton,1.76,1.30,0.74,1.22
18,Harvard,1.55,1.29,0.83,1.13
19,Hartwick,1.54,1.73,1.13,1.06
20,San Diego State,1.53,1.09,0.72,1.30
21,San Jose State,1.46,1.09,0.74,1.42
22,Cal State Northridge,1.41,1.13,0.80,1.19
23,Pomona Pitzer,1.27,1.15,0.91,1.01
24,Fresno State,1.19,1.16,0.97,1.32
25,Azusa Pacific,1.17,1.12,0.96,1.03
26,Bucknell,1.16,1.02,0.88,1.08
27,Marist,1.15,1.06,0.93,1.12
28,Cal Baptist,1.11,1.00,0.91,1.15
29,George Washington,1.06,1.26,1.19,1.01
30,Cal State East Bay,1.05,1.15,1.10,1.00
31,Brown,1.03,0.94,0.92,1.00
32,Santa Clara,1.01,0.89,0.88,1.03
33,VMI,0.98,1.04,1.07,0.86
34,Iona,0.95,1.02,1.08,1.11
35,Cal Lutheran,0.91,0.75,0.81,0.78
36,Saint Francis,0.77,1.07,1.38,1.16
37,Concordia,0.73,0.85,1.16,0.92
38,Claremont Mudd Scripps,0.72,0.80,1.11,0.82
39,Fresno Pacific,0.69,0.97,1.40,1.03
40,Saint Francis (Pa.),0.69,0.93,1.36,0.77
41,Sonoma State,0.67,0.72,1.07,1.08
42,Mercyhurst,0.67,0.72,1.09,0.85
43,Villanova,0.65,0.92,1.40,0.96
44,St.Francis Brooklyn,0.64,0.97,1.52,0.81
45,Gannon,0.62,0.98,1.58,0.85
46,Macalester,0.61,0.74,1.21,0.67
47,Cal State Monterey Bay,0.60,0.75,1.26,0.98
48,Siena,0.58,0.87,1.49,0.89
49,St.Francis (N.Y.),0.58,1.06,1.84,0.83
50,McKendree,0.56,0.82,1.48,0.88
51,Whittier,0.54,0.83,1.55,0.85
52,La Verne,0.51,0.76,1.47,0.78
53,Chapman,0.47,0.63,1.36,0.82
54,Monmouth,0.42,0.56,1.33,0.63
55,Redlands,0.41,0.63,1.54,0.86
56,Carthage,0.36,0.58,1.64,0.71
57,Occidental,0.35,0.65,1.88,0.82
58,Connecticut,0.34,0.62,1.84,0.66
59,La Salle,0.33,0.62,1.86,0.93
60,Penn State Behrend,0.29,0.58,2.00,0.62
61,Grove City,0.26,0.67,2.58,0.58
62,Washington & Jefferson,0.25,0.53,2.09,0.68
63,Utica,0.17,0.33,1.98,0.70
64,Cal Tech,0.13,0.33,2.52,0.75
