2016,Villanova,8,,Brown,6,,
2016,Whittier,13,,Azusa Pacific,11,,
2016,Whittier,12,,Fresno Pacific,11,,OT
2016,Arizona State,10,,Indiana,5,,
2016,Arizona State,13,,Indiana,8,,
2016,Cal Baptist,10,,Cal State Northridge,5,,
2016,Cal State Bakersfield,12,,Wagner,9,,
2016,Cal State Northridge,14,,Azusa Pacific,12,,
2016,California,9,,UC Santa Barbara,8,,OT
2016,California,8,,Long Beach State,3,,
2016,California,14,,Cal State Bakersfield,3,,
2016,Hawaii,10,,California,9,,
2016,Hawaii,11,,Michigan,10,,
2016,Hawaii,8,,Wagner,4,,
2016,Hawaii,7,,San Jose State,5,,
2016,Hawaii,12,,Cal State Bakersfield,3,,
2016,Michigan,12,,Cal State Northridge,4,,
2016,Michigan,15,,Cal Baptist,6,,
2016,Michigan,18,,San Jose State,9,,
2016,San Jose State,6,,UC Irvine,3,,
2016,San Jose State,9,,Long Beach State,6,,
2016,Sonoma State,13,,Cal State Monterey Bay,7,,
2016,UC Irvine,15,,Azusa Pacific,10,,
2016,UC San Diego,15,,Azusa Pacific,7,,
2016,UC San Diego,10,,Cal State Northridge,9,,
2016,UC San Diego,8,,Cal State Bakersfield,7,,
2016,UC Santa Barbara,10,,Cal Baptist,4,,
2016,UC Santa Barbara,10,,UC San Diego,9,,
2016,UC Santa Barbara,10,,Wagner,6,,
2016,UCLA,13,,Hawaii,8,,
2016,UCLA,8,,UC Santa Barbara,5,,
2016,UCLA,11,,Long Beach State,4,,
2016,UCLA,11,,Michigan,7,,
2016,Wagner,12,,Azusa Pacific,6,,
2016,Wagner,11,,Cal Baptist,10,,OT
2016,Wagner,8,,Long Beach State,7,,
2016,Cal State Bakersfield,11,,Sonoma State,3,,
2016,Cal State East Bay,12,,Cal State Bakersfield,9,,
2016,California,22,,Cal State Monterey Bay,5,,
2016,California,12,,Pacific,8,,
2016,California,12,,Sonoma State,4,,
2016,California,7,,Cal State Bakersfield,3,,
2016,Pacific,14,,Sonoma State,6,,
2016,San Jose State,13,,Cal State East Bay,9,,
2016,San Jose State,13,,Sonoma State,4,,
2016,San Jose State,15,,Cal State Monterey Bay,9,,
2016,Stanford,16,,Pacific,10,,
2016,Stanford,11,,UC Davis,6,,
2016,Stanford,19,,Cal State Monterey Bay,1,,
2016,Stanford,10,,San Jose State,5,,
2016,UC Davis,24,,Cal State Monterey Bay,3,,
2016,UC Davis,11,,Cal State Bakersfield,5,,
2016,UC Davis,14,,Pacific,10,,
