rk,team,str,ofs,dfs,sos
1,USC,5.56,1.95,0.35,1.24
2,UCLA,3.86,1.63,0.42,1.25
3,California,3.70,1.88,0.51,1.31
4,Stanford,3.04,1.55,0.51,1.29
5,Long Beach,3.02,1.46,0.48,0.80
6,Pacific,2.73,1.68,0.61,1.30
7,Long Beach State,2.30,1.28,0.56,1.38
8,UC Santa Barbara,2.25,1.49,0.66,1.28
9,Pepperdine,2.22,1.39,0.63,1.26
10,UC Davis,2.14,1.44,0.67,1.14
11,UC San Diego,1.54,1.22,0.79,1.07
12,Brown,1.44,1.10,0.76,1.01
13,Harvard,1.44,1.17,0.82,1.00
14,Cal Baptist,1.43,1.20,0.83,1.06
15,Princeton,1.43,1.17,0.82,1.03
16,Bucknell,1.38,1.22,0.88,0.97
17,UC Irvine,1.37,0.96,0.70,1.23
18,Loyola Marymount,1.36,1.22,0.90,1.09
19,St.Francis Brooklyn,1.16,1.00,0.86,1.09
20,Pomona Pitzer,1.15,1.00,0.87,0.97
21,San Jose State,1.08,0.98,0.91,1.22
22,George Washington,1.08,1.12,1.04,1.02
23,Santa Clara,1.06,1.09,1.03,1.11
24,Air Force,1.04,1.09,1.04,1.08
25,Redlands,1.01,0.98,0.97,1.01
26,St.Francis,0.96,0.92,0.97,0.99
27,Johns Hopkins,0.89,1.02,1.15,1.10
28,Whittier,0.89,0.99,1.11,1.01
29,Claremont Mudd Scripps,0.81,0.91,1.13,1.09
30,Navy,0.79,0.97,1.22,0.94
31,Fordham,0.79,0.85,1.07,0.91
32,Wagner,0.75,0.91,1.23,1.01
33,Toronto,0.74,0.75,1.01,0.92
34,MIT,0.70,0.78,1.12,0.90
35,Cal Lutheran,0.68,0.81,1.19,0.85
36,Fresno Pacific,0.68,0.82,1.19,1.01
37,Iona,0.65,0.86,1.32,0.91
38,Gannon,0.61,0.82,1.34,0.71
39,La Verne,0.59,0.81,1.38,1.01
40,Mercyhurst,0.58,0.75,1.28,0.77
41,Concordia,0.57,0.83,1.44,0.99
42,Chapman,0.54,0.75,1.39,0.96
43,Washington & Jefferson,0.53,0.82,1.56,0.75
44,Connecticut College,0.51,0.84,1.64,0.75
45,Salem International,0.51,0.93,1.83,0.81
46,Occidental,0.49,0.64,1.29,0.92
47,Connecticut,0.45,0.77,1.69,0.79
48,Monmouth,0.38,0.74,1.94,0.70
49,La Salle,0.31,0.65,2.12,0.74
50,Cal Tech,0.29,0.61,2.10,0.80
51,Penn State Behrend,0.22,0.51,2.30,0.78
